DeviceName,DeviceDateTime,BatteryStatus,CommId,GPS Confidence,GPS Fail Counter,GpsQuality,Latitude,Longitude
0-4351296,2023-03-10 04:14:48,GOOD,0-4351296,0,0,3,48.357675,-4.560785
0-4351902,2023-03-10 04:10:54,GOOD,0-4351902,0,0,3,48.357911,-4.560485
0-4351296,2023-03-10 04:09:49,GOOD,0-4351296,0,0,3,48.357739,-4.560785
0-4351902,2023-03-10 04:05:54,GOOD,0-4351902,0,0,3,48.357911,-4.560463
0-4351296,2023-03-10 04:04:50,GOOD,0-4351296,0,0,3,48.357739,-4.560785
0-4351902,2023-03-10 04:00:53,GOOD,0-4351902,0,0,3,48.357964,-4.560463
0-4351296,2023-03-10 03:59:51,GOOD,0-4351296,0,0,3,48.357868,-4.560614
0-4351902,2023-03-10 03:55:57,GOOD,0-4351902,0,0,3,48.3579,-4.560485
0-4351296,2023-03-10 03:54:51,GOOD,0-4351296,0,0,3,48.357868,-4.560549
0-4351902,2023-03-10 03:50:50,GOOD,0-4351902,0,0,3,48.357889,-4.560485
0-4351296,2023-03-10 03:49:47,GOOD,0-4351296,0,0,3,48.357911,-4.560571
0-4351902,2023-03-10 03:45:56,GOOD,0-4351902,0,0,3,48.357857,-4.560506
0-4351296,2023-03-10 03:44:44,GOOD,0-4351296,0,0,3,48.357846,-4.560614
0-4351902,2023-03-10 03:40:54,GOOD,0-4351902,0,0,3,48.3579,-4.560485
0-4351296,2023-03-10 03:39:48,GOOD,0-4351296,0,0,3,48.357868,-4.560571
0-4351902,2023-03-10 03:35:53,GOOD,0-4351902,0,0,3,48.357954,-4.560463
0-4351296,2023-03-10 03:34:48,GOOD,0-4351296,0,0,3,48.357932,-4.560657
0-4351902,2023-03-10 03:31:10,GOOD,0-4351902,0,0,3,48.357922,-4.560485
0-4351296,2023-03-10 03:29:48,GOOD,0-4351296,0,0,3,48.357868,-4.560678
0-4351902,2023-03-10 03:26:07,GOOD,0-4351902,0,0,3,48.357932,-4.560442
0-4351296,2023-03-10 03:24:50,GOOD,0-4351296,0,0,3,48.357836,-4.560742
0-4351902,2023-03-10 03:20:55,GOOD,0-4351902,0,0,3,48.357814,-4.560335
0-4351296,2023-03-10 03:19:51,GOOD,0-4351296,0,0,3,48.357879,-4.560678
0-4351902,2023-03-10 03:15:51,GOOD,0-4351902,0,0,3,48.357857,-4.560378
0-4351296,2023-03-10 03:14:48,GOOD,0-4351296,0,0,3,48.357868,-4.560699
0-4351902,2023-03-10 03:10:57,GOOD,0-4351902,0,0,3,48.357836,-4.560292
0-4351296,2023-03-10 03:09:48,GOOD,0-4351296,0,0,3,48.3579,-4.560678
0-4351902,2023-03-10 03:05:51,GOOD,0-4351902,0,0,3,48.357868,-4.560378
0-4351296,2023-03-10 03:04:48,GOOD,0-4351296,0,0,3,48.357868,-4.560742
0-4351902,2023-03-10 03:00:54,GOOD,0-4351902,0,0,3,48.357836,-4.560335
0-4351296,2023-03-10 02:59:49,GOOD,0-4351296,0,0,3,48.357857,-4.560764
0-4351902,2023-03-10 02:55:52,GOOD,0-4351902,0,0,3,48.357825,-4.560335
0-4351296,2023-03-10 02:54:46,GOOD,0-4351296,0,0,3,48.357846,-4.560764
0-4351902,2023-03-10 02:50:55,GOOD,0-4351902,0,0,3,48.357825,-4.560335
0-4351296,2023-03-10 02:49:50,GOOD,0-4351296,0,0,3,48.3579,-4.560742
0-4351902,2023-03-10 02:45:58,GOOD,0-4351902,0,0,3,48.35775,-4.560335
0-4351296,2023-03-10 02:44:48,GOOD,0-4351296,0,0,3,48.3579,-4.560678
0-4351902,2023-03-10 02:40:52,GOOD,0-4351902,0,0,3,48.357814,-4.560313
0-4351296,2023-03-10 02:39:48,GOOD,0-4351296,0,0,3,48.357975,-4.560549
0-4351902,2023-03-10 02:35:53,GOOD,0-4351902,0,0,3,48.357846,-4.560335
0-4351296,2023-03-10 02:34:49,GOOD,0-4351296,0,0,3,48.35804,-4.560442
0-4351902,2023-03-10 02:30:56,GOOD,0-4351902,0,0,3,48.357857,-4.560378
0-4351296,2023-03-10 02:29:51,GOOD,0-4351296,0,0,3,48.357997,-4.560485
0-4351902,2023-03-10 02:25:57,GOOD,0-4351902,0,0,3,48.357846,-4.560378
0-4351296,2023-03-10 02:24:52,GOOD,0-4351296,0,0,3,48.35804,-4.56042
0-4351902,2023-03-10 02:20:54,GOOD,0-4351902,0,0,3,48.357868,-4.560378
0-4351296,2023-03-10 02:19:48,GOOD,0-4351296,0,0,3,48.35805,-4.560313
0-4351902,2023-03-10 02:15:53,GOOD,0-4351902,0,0,3,48.357846,-4.560378
0-4351296,2023-03-10 02:14:48,GOOD,0-4351296,0,0,3,48.358029,-4.56012
0-4351902,2023-03-10 02:10:53,GOOD,0-4351902,0,0,3,48.357857,-4.560442
